id,brand_id,name,model,chipset_manufacturer_id,memory_type_id,memory_size_gb,thermal_design_power_w,slot_width,interface_id,image_url
1,4,GeForce GTX 1660 Super OC,GV-N166SOC-6GD,2,1,6,120,2,1,1
2,4,GeForce RTX 2060,GV-N2060OC-6GD,2,1,6,160,2,1,2
3,5,PHOENIX GTX 1050 Ti,PH-GTX1050TI-4G,2,2,4,75,2,1,3
4,6,GTX 1080 Ti Founders Edition,11G-P4-6390-KR,2,3,11,250,2,1,4
5,3,GTX 1060 AERO ITX,GTX-1060-AERO-ITX-6G,2,2,6,120,2,1,5
6,7,GTR RX 580 Black Edition OC,RX-580P8DBRR,1,2,8,185,2,1,6
7,4,RX 570 GAMING,GV-RX570GAMING-4GD,1,2,4,150,2,1,7
8,5,ROG STRIX RX 560 GAMING,ROG-STRIX-RX560-4G-GAMING,1,2,4,75,2,2,8
9,8,GTX 1070,426018336-3750,2,2,8,150,2,1,9
10,8,GTX 1650 Pegasus,471056224-1853,2,1,4,80,2,1,10
