id,brand_id,Model,socket_id,chipset_id,form_factor_id,memory_type_id,max_memory_supported_gb,memory_slots,image_url
1,5,MAXIMUS XIII HERO,1,1,1,2,128,4,1
2,5,STRIX Z590-E GAMING WIFI,1,1,1,2,128,4,2
3,3,Z390-A PRO,3,2,1,2,128,4,3
4,5,PRIME Z490-A,1,3,1,2,128,4,4
5,5,B250 MINING EXPERT,3,4,1,2,32,2,5
6,5,STRIX Z590-A GAMING WIFI,1,1,1,2,128,4,6
7,4,Z590 AORUS ELITE AX,1,1,1,2,128,4,7
8,4,Z590 VISION D,1,1,1,2,128,4,8
9,9,B365M Pro4,3,5,2,2,64,4,9
10,3,MAG B365M MORTAR,3,5,2,2,64,4,10
11,3,Z490-A PRO,1,3,1,2,128,4,11
12,5,STRIX Z590-I GAMING WIFI,1,1,3,2,64,2,12
13,5,Prime Z390-A,3,2,1,2,64,4,13
14,5,PRIME Z390-P/WF-LED GSI,3,2,1,2,64,4,14
15,4,Z590 AORUS ELITE,1,1,1,2,128,4,15
16,9,Z590 STEEL LEGEND,1,1,1,2,128,4,16
17,3,MPG Z590 GAMING FORCE,1,1,1,2,128,4,17
18,4,Z590 AORUS ULTRA,1,1,1,2,128,4,18
19,5,PRIME Z590-P,1,1,1,2,128,4,19
20,4,Z590I AORUS ULTRA,1,1,3,2,64,2,20
21,9,Z590 Phantom Gaming 4,1,1,1,2,128,4,21
22,4,Z590 UD,1,1,1,2,128,4,22
23,3,MAG Z590 TOMAHAWK WIFI,1,1,1,2,128,4,23
24,9,Z590 Steel Legend WiFi 6E,1,1,1,2,128,4,24
25,3,B560M PRO-VDH WIFI,1,6,2,2,128,4,25
26,9,Z590 Phantom Gaming 4/ac,1,1,1,2,128,4,26
27,3,MEG Z590 ACE,1,1,1,2,128,4,27
28,5,Z390-Plus Gaming (Wi-Fi),3,2,1,2,128,4,28
29,3,Z590 PRO WIFI,1,1,1,2,128,4,29
30,4,B365M DS3H,3,5,2,2,64,4,30
31,4,Z590 AORUS PRO AX,1,1,1,2,128,4,31
32,4,Z490 AORUS MASTER WATERFORCE,1,3,1,2,128,4,32
33,5,MAXIMUS XII FORMULA,1,3,1,2,128,4,33
34,4,B460M DS3H,1,7,2,2,128,4,34
35,3,MEG Z590I UNIFY,1,1,3,2,64,2,35
36,3,MAG Z590 TORPEDO,1,1,1,2,128,4,36
37,3,MAG B550 TOMAHAWK,5,8,1,2,128,4,37
38,3,MPG B550 GAMING CARBON WIFI,5,8,1,2,128,4,38
39,5,STRIX B550-F GAMING (WI-FI),5,8,1,2,128,4,39
40,5,TUF GAMING X570-PLUS (Wi-Fi),5,9,1,2,128,4,40
41,5,STRIX B450-F GAMING II,5,10,1,2,128,4,41
42,4,X570 AORUS ELITE WIFI,5,9,1,2,128,4,42
43,5,TUF GAMING B550M-PLUS (WI-FI),5,8,2,2,128,4,43
44,3,B450 GAMING PLUS MAX,5,10,1,2,64,4,44
45,5,STRIX B550-E GAMING,5,8,1,2,128,4,45
46,4,X570 AORUS MASTER (rev. 1.0),5,9,1,2,128,4,46
47,5,TUF GAMING B450M-PLUS II,5,10,2,2,128,4,47
48,3,B450 TOMAHAWK MAX,5,10,1,2,64,4,48
49,5,STRIX B550-A GAMING,5,8,1,2,128,4,49
50,5,STRIX B550-F GAMING,5,8,1,2,128,4,50
51,5,TUF GAMING B450-PLUS II,5,10,1,2,128,4,51
52,4,B550M DS3H,5,8,2,2,128,4,52
53,9,B450M Steel Legend,5,11,2,2,64,4,53
54,3,MAG B550 TOMAHAWK,5,8,1,2,128,4,54
55,5,CROSSHAIR VIII FORMULA,5,9,1,2,128,4,55
56,9,B450M PRO4,5,11,2,2,128,4,56
57,4,B550I AORUS PRO AX,5,8,3,2,64,2,57
58,9,B550 Phantom Gaming-ITX/ax,5,8,3,2,64,2,58
59,9,B550M PRO4,5,8,2,2,128,4,59
60,9,B550 Phantom Gaming 4,5,8,1,2,128,4,60
61,3,MPG X570 GAMING EDGE WIFI,5,9,1,2,128,4,61
62,5,PRIME X570-PRO,5,9,1,2,128,4,62
63,4,B450M DS3H V2,5,10,2,2,128,4,63
64,9,X570 TAICHI,5,12,1,2,128,4,64
65,4,B450 AORUS PRO WIFI (rev. 1.0),5,10,1,2,128,4,65
66,5,TUF GAMING X570-PRO (WI-FI),5,9,1,2,128,4,66
67,5,CROSSHAIR VIII HERO (WI-FI),5,9,1,2,128,4,67
68,9,B550M-ITX/AC,5,8,3,2,64,2,68
69,3,B550-A PRO,5,8,1,2,128,4,69
70,5,Strix X570-I Gaming,5,9,3,2,64,2,70
71,3,MPG B550 GAMING EDGE WIFI,5,8,1,2,128,4,71
72,4,X570 AORUS ULTRA,5,9,1,2,128,4,72
73,5,TUF GAMING B550-PLUS,5,8,1,2,128,4,73
